param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.5500805152979066,0.8979711669612767,0.6854879773691654,0.4961240310077519,0.6574159226590252,0.15507323254094205,225,0.56,0.9213483146067416,0.7301587301587301,0.5925925925925926,0.7010249093395161,0.1423347944051243,214,LogisticRegression_PCA
basic,0.6070175438596492,0.8545087870930569,0.7222454964390448,0.4761904761904762,0.6649905758955568,0.13982277031480433,210,0.68,0.8764044943820225,0.7301587301587301,0.5555555555555556,0.7105296950240771,0.11494432811651474,202,LogisticRegression_PCA
basic,0.6711018711018711,0.833897387302017,0.7625000000000001,0.4961240310077519,0.6909058223529101,0.1263966540739311,173,0.72,0.8651685393258427,0.7777777777777778,0.5925925925925926,0.7388847274240532,0.0990180440092751,133,LogisticRegression_PCA
basic,0.6711018711018711,0.833897387302017,0.7625000000000001,0.4961240310077519,0.6909058223529101,0.1263966540739311,173,0.72,0.8651685393258427,0.7777777777777778,0.5925925925925926,0.7388847274240532,0.0990180440092751,133,LogisticRegression_PCA
cleaned,0.45,0.8510072468585864,0.5952380952380952,0.4552845528455285,0.5878824737355526,0.16269798445780537,352,0.6,0.898876404494382,0.7142857142857143,0.5185185185185185,0.6829201593246538,0.14276252150687044,246,LogisticRegression_PCA
cleaned,0.22857142857142854,0.8545087870930569,0.6618566618566618,0.4961240310077519,0.5602652271322248,0.22969270843442197,425,0.4,0.8764044943820225,0.6984126984126984,0.5925925925925926,0.6418524463468284,0.17257814487000733,361,LogisticRegression_PCA
cleaned,0.7615384615384616,0.822143052891203,0.653061224489796,0.4961240310077519,0.6832166924818031,0.12384249003474931,190,0.76,0.8426966292134831,0.7301587301587301,0.5925925925925926,0.7313619879912014,0.09010262343103158,159,LogisticRegression_PCA
cleaned,0.92,0.8280558392917944,0.7594908062234795,0.4961240310077519,0.7509176691307564,0.15774380226774112,90,0.92,0.8539325842696629,0.7936507936507936,0.5925925925925926,0.7900439926282623,0.12244425301293954,57,LogisticRegression_PCA
cleaned,0.9595925297113752,0.8280558392917944,0.7594908062234795,0.4961240310077519,0.7608158015586003,0.16889116269025492,78,0.96,0.8539325842696629,0.7936507936507936,0.5925925925925926,0.8000439926282622,0.1337599164298913,39,LogisticRegression_PCA
basic,0.45,0.8510072468585864,0.5952380952380952,0.43333333333333335,0.5823946688575037,0.16738077902772974,373,0.6,0.898876404494382,0.7142857142857143,0.48148148148148145,0.6736609000653945,0.1538922156018082,289,LogisticRegression_PCA
basic,0.42173174872665536,0.8979711669612767,0.7073282210146767,0.4961240310077519,0.6307887919275902,0.1864699378446385,289,0.48,0.9213483146067416,0.7301587301587301,0.5925925925925926,0.6810249093395161,0.1646213536329041,271,LogisticRegression_PCA
basic,0.6070175438596492,0.8500901093216964,0.6957613814756672,0.4761904761904762,0.6572648777118723,0.1359929080807219,226,0.68,0.8539325842696629,0.6984126984126984,0.5555555555555556,0.6969752095594792,0.10597801673966852,219,LogisticRegression_PCA
basic,0.8294117647058823,0.833897387302017,0.7222454964390448,0.4961240310077519,0.720419669863674,0.13699300743612694,120,0.84,0.8651685393258427,0.7301587301587301,0.5925925925925926,0.7569799655192914,0.10763326701290106,94,LogisticRegression_PCA
basic,0.7285714285714286,0.8475511881924599,0.7489691971865146,0.4961240310077519,0.7053039612395388,0.12887837740862187,148,0.76,0.8651685393258427,0.7619047619047619,0.5925925925925926,0.7449164734557993,0.0976975418634937,116,LogisticRegression_PCA
