param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
cleaned,0.656037296037296,0.8590153452685422,0.9553495311167945,1.0,1.0,1.0,0.9117336954037721,0.12478984720730071,749,0.72,0.8695652173913043,0.9565217391304348,1.0,1.0,1.0,0.9243478260869565,0.10244029413582285,538,LogisticRegression_PCA
cleaned,0.656037296037296,0.8323881537492123,0.9553495311167945,1.0,1.0,1.0,0.9072958301505505,0.12703894314183678,822,0.72,0.8478260869565217,0.9565217391304348,1.0,1.0,1.0,0.9207246376811594,0.10467390677281627,617,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.7366099558916194,0.7282843798000063,1.0,0.9743589743589742,1.0,0.8372088850084333,0.1622300183231722,1232,0.68,0.7608695652173914,0.7608695652173914,1.0,0.95,1.0,0.8586231884057972,0.1286742091092736,1143,LogisticRegression_PCA
cleaned+speed,0.7477333333333334,0.7920830629461387,0.8899415963659961,1.0,0.9743589743589742,1.0,0.900686161167407,0.10038161080709455,887,0.78,0.8043478260869565,0.8913043478260869,1.0,0.95,1.0,0.9042753623188405,0.08757404524484468,878,LogisticRegression_PCA
cleaned+speed,0.6884697910784868,0.8590153452685422,0.9553495311167945,1.0,1.0,1.0,0.9171391112439706,0.11381699272610515,676,0.74,0.8695652173913043,0.9565217391304348,1.0,1.0,1.0,0.92768115942029,0.09585014646629261,471,LogisticRegression_PCA
cleaned+speed,0.656037296037296,0.8844905905256328,0.9553495311167945,1.0,1.0,1.0,0.9159795696132873,0.12334898555975994,688,0.72,0.8913043478260869,0.9565217391304348,1.0,1.0,1.0,0.9279710144927537,0.10081009824626996,460,LogisticRegression_PCA
cleaned+speed,0.656037296037296,0.8323881537492123,0.9553495311167945,1.0,1.0,1.0,0.9072958301505505,0.12703894314183678,822,0.72,0.8478260869565217,0.9565217391304348,1.0,1.0,1.0,0.9207246376811594,0.10467390677281627,617,LogisticRegression_PCA
invariant,0.6213381555153706,0.7844990548204158,0.659539641943734,1.0,0.9743589743589742,1.0,0.8399559711064158,0.15953663128916917,1224,0.7,0.8043478260869565,0.717391304347826,1.0,0.95,1.0,0.8619565217391304,0.1266961171944954,1120,LogisticRegression_PCA
invariant,0.656037296037296,0.8634843417452113,0.8072463768115942,1.0,0.9743589743589742,1.0,0.8835211648255127,0.12473597038853862,966,0.72,0.8695652173913043,0.8260869565217391,1.0,0.95,1.0,0.8942753623188406,0.10090654515373335,945,LogisticRegression_PCA
invariant,0.656037296037296,0.9089895611634743,0.796840318579449,1.0,1.0,1.0,0.8936445292967031,0.12909827068189347,922,0.72,0.9130434782608695,0.8260869565217391,1.0,1.0,1.0,0.9098550724637681,0.10602714715405386,812,LogisticRegression_PCA
invariant,0.656037296037296,0.932664437012263,0.796840318579449,1.0,1.0,1.0,0.897590341938168,0.1298665003821629,893,0.72,0.9347826086956522,0.8260869565217391,1.0,1.0,1.0,0.9134782608695652,0.10644481102703397,759,LogisticRegression_PCA
invariant,0.656037296037296,0.9556482919254659,0.796840318579449,1.0,1.0,1.0,0.9014209844237019,0.13117694030672908,871,0.72,0.9565217391304348,0.8260869565217391,1.0,1.0,1.0,0.9171014492753624,0.10747332039987216,685,LogisticRegression_PCA
cleaned_invariant,0.6213381555153706,0.7844990548204158,0.7408217420464817,1.0,0.9473684210526315,1.0,0.8490045622391499,0.14316142927511638,1173,0.7,0.8043478260869565,0.7608695652173914,1.0,0.9,1.0,0.8608695652173913,0.11497787519013741,1125,LogisticRegression_PCA
cleaned_invariant,0.7477333333333334,0.7748228501443443,0.7590579710144929,1.0,0.9743589743589742,1.0,0.8759955214751908,0.11603956170960618,999,0.78,0.8043478260869565,0.782608695652174,1.0,0.95,1.0,0.8861594202898551,0.09889446127943481,990,LogisticRegression_PCA
cleaned_invariant,0.7189473684210526,0.8844905905256328,0.8270900598727312,1.0,0.9743589743589742,1.0,0.9008144988630651,0.10316793200941735,885,0.76,0.8913043478260869,0.8478260869565217,1.0,0.95,1.0,0.9081884057971014,0.08611565056365585,833,LogisticRegression_PCA
