param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
cleaned+speed,0.6213381555153706,0.932664437012263,0.8752717391304349,1.0,0.9048790552763447,0.13489999062280628,133,0.7,0.9347826086956522,0.8695652173913043,1.0,0.917391304347826,0.10825999650424986,106,LogisticRegression_PCA
cleaned+speed,0.6213381555153706,0.9556482919254659,0.8752717391304349,1.0,0.9087096977618785,0.13595678838072733,116,0.7,0.9565217391304348,0.8695652173913043,1.0,0.9210144927536232,0.10914159728888509,94,LogisticRegression_PCA
basic,0.5926143421795596,0.6633221850613155,0.6281055900621118,0.7647058823529411,0.7232040316886864,0.10122062686259135,331,0.66,0.6739130434782609,0.6086956521739131,0.6190476190476191,0.6709903381642511,0.0497075111159934,331,LogisticRegression_PCA
basic,0.5435737491877842,0.7269686834904227,0.8412098298676748,0.8333333333333334,0.8158423877226251,0.14923767808945998,242,0.66,0.7391304347826086,0.8478260869565217,0.7142857142857143,0.8106038647342996,0.11400634507454936,266,LogisticRegression_PCA
basic,0.6213381555153706,0.8260869565217391,0.8752717391304349,0.8648648648648648,0.8519867817318972,0.11486163304265141,213,0.7,0.8260869565217391,0.8695652173913043,0.7619047619047619,0.8353864734299518,0.08459012709854677,225,LogisticRegression_PCA
basic,0.656037296037296,0.934175769258228,0.8956153863840158,0.975609756097561,0.9019011563722726,0.11375869937021664,141,0.72,0.9347826086956522,0.8913043478260869,0.9523809523809523,0.9001414768806074,0.08333951892192688,140,LogisticRegression_PCA
basic,0.7189473684210526,0.934175769258228,0.8956153863840158,0.975609756097561,0.9164512090866386,0.09450705621362586,91,0.76,0.9347826086956522,0.8913043478260869,0.9523809523809523,0.9147446514837819,0.0761848409270407,119,LogisticRegression_PCA
cleaned,0.5926143421795596,0.6451863354037267,0.6270022883295194,0.8333333333333334,0.7367264202447269,0.11761977687901029,327,0.66,0.6521739130434783,0.6086956521739131,0.7142857142857143,0.6915734989648034,0.06083577110090322,327,LogisticRegression_PCA
cleaned,0.4995121951219512,0.7782414596273293,0.7311398354876617,0.9230769230769231,0.8048898057277495,0.1605874613897058,264,0.64,0.782608695652174,0.717391304347826,0.8571428571428571,0.8003174603174603,0.09743922224455664,279,LogisticRegression_PCA
cleaned,0.656037296037296,0.8902929487637133,0.7520703933747412,0.9230769230769231,0.8619077152848682,0.1187207507974344,208,0.72,0.8913043478260869,0.7391304347826086,0.8571428571428571,0.8516597653554175,0.09256930784842206,205,LogisticRegression_PCA
